Player,Team,Season,betweenness_all,betweenness_5v5,betweenness_EV,betweenness_PP,betweenness_PK
Jordan Smelker,BOS,2017-18,0.0505,0.033,0.033,0,0
Jordan  Juron,BUF,2017-18,0.0478,0.0037,0.0037,NA,NA
Molly Engstrom,CTW,2016-17,0.0472,0,0.0476,NA,NA
Gigi Marvin,BOS,2016-17,0.0468,0.0324,0.0274,0,0
Corinne Buie,BOS,2015-16,0.0459,0.0867,0.0373,0,NA
Blake Bolden,BOS,2016-17,0.0458,0,0,0.0238,NA
Kacey Bellamy,BOS,2015-16,0.0435,0,0,0.1071,NA
Yekaterina Smolentseva,CTW,2015-16,0.0422,0.0222,0.0222,0,NA
Hayley  Scamurra,BUF,2017-18,0.0417,0.0211,0.0211,NA,0
Erin Zach,BUF,2015-16,0.0379,0,0,NA,NA
Shiann Darkangelo,CTW,2015-16,0.0343,0.2067,0.2067,0,NA
Danielle Ward,CTW,2015-16,0.0319,0.1472,0.1472,NA,0
Hilary Knight,BOS,2016-17,0.0316,0.0437,0.0487,NA,0.05
Kelly Cooke,BOS,2015-16,0.0309,0.0338,0.0338,0,NA
Kelley Steadman,BUF,2016-17,0.0301,0.0444,0.0444,0,0
Courtney Burke,MET,2016-17,0.0301,0,0,NA,0
Devon Skeats,BUF,2015-16,0.0265,0.0556,0.0429,NA,0.1
Juana Baribeau,CTW,2017-18,0.0265,0,0,NaN,NA
Corinne Buie,BUF,2016-17,0.0254,0,0,0.0357,0
Jordan Smelker,BOS,2016-17,0.0247,0,0.0659,0,NA
Kaleigh Fratkin,MET,2016-17,0.0246,0,0.004,0,NA
Micaela Long,CTW,2015-16,0.0234,0.0458,0.0458,0,NA
Emily Pfalzer,BUF,2015-16,0.021,0.0126,0.0354,0,NA
Madison Packer,MET,2015-16,0.0196,0,0,0,NA
Mary Parker,BOS,2017-18,0.019,0.0256,0.0256,NA,NA
Rachel Llanes,BOS,2016-17,0.0165,0.0165,0.0165,NA,NA
Alexandra Bender,BOS,2016-17,0.0161,0.0715,0.0816,NA,NA
Blake Bolden,BOS,2015-16,0.0157,0.0342,0.0342,NA,NA
Emily Field,BOS,2017-18,0.0154,0.0824,0.0824,NA,NA
Beth Hanrahan,MET,2015-16,0.0143,0.0076,0.0076,NA,NA
Micaela Long,CTW,2016-17,0.0087,0.0668,0.0815,NA,NA
Michelle Picard,MET,2016-17,0.0084,0.0139,0.0139,NA,NA
Kate Buesser,CTW,2015-16,0.0074,0,0,0,0.0417
Sarah  Edney,BUF,2017-18,0.0074,0,0,NA,0
Maddie  Elia,BUF,2017-18,0.0066,0.0098,0.0098,NA,NA
Harrison Browne,BUF,2016-17,0.0064,NA,NA,0.0357,0
Shannon Doyle,CTW,2015-16,0.0061,0,0,0,0
Courtney Burke,MET,2017-18,0.0056,0,0,0,0
Meagan Mangene,BOS,2017-18,0.0055,0,0,0,NA
Emily Pfalzer,BUF,2016-17,0.0048,0,0,0,0
Jessica Koizumi,CTW,2015-16,0.0037,0,0,0,NA
Corinne Buie,BUF,2017-18,0.0033,0,0,0.1667,NA
Zoe Hickel,BOS,2015-16,0.0027,0.0069,0.0069,NA,NA
Gigi Marvin,BOS,2015-16,0.0022,0.0014,0.0014,0,NA
Meghan   Huertas,CTW,2016-17,0.0021,NA,NA,0.0357,NA
Alyssa Gagliardi,BOS,2015-16,0,0,0,0,NA
Marissa Gedman,BOS,2015-16,0,0,0,NA,NA
Kelly McDonald,BUF,2015-16,0,0,0,0,0
Taylor Holze,MET,2015-16,0,0,0,NA,NA
Sydney Kidd,MET,2015-16,0,0,0,NA,NA
Celeste Brown,MET,2015-16,0,0,0,NA,NA
Amber Moore,MET,2015-16,0,0,0,NA,NA
Gabie Figueroa,MET,2015-16,0,NA,NA,0,NA
Elena Orlando,MET,2015-16,0,NA,NA,0,NA
Kiira Dosdall,MET,2015-16,0,NA,NA,NA,0
Jordan Brickner,CTW,2015-16,0,0,0,0,0
Brittany Dougherty,CTW,2015-16,0,0,0,NA,NA
Lindsay Berman,CTW,2015-16,0,0,0,NA,NA
Molly Engstrom,CTW,2015-16,0,0,0,0,0
Tara Tomimoto,CTW,2015-16,0,0,0,NA,NA
Sam Faber,CTW,2015-16,0,0,0,0,0
Jaimie Leonoff,CTW,2015-16,0,NA,NA,0,NA
Zoe Hickel,BOS,2016-17,0,0,0,0,NA
Alyssa Gagliardi,BOS,2016-17,0,0,0,NA,0
Ashley Vesci,BUF,2016-17,0,0,0,NA,NA
Lisa Chesson,BUF,2016-17,0,0,0,NA,NA
Jacquie Greco,BUF,2016-17,0,0,0,NA,NA
Sarah Casorso,BUF,2016-17,0,NA,NA,NA,0
Anne Schleper,BUF,2016-17,0,NA,NA,0,NA
Ashley Johnston,MET,2016-17,0,0,0,NA,NA
Taylor Holze,MET,2016-17,0,0,0,NA,NA
Cydney Roesler,CTW,2016-17,0,0,0,0,NA
Shannon Doyle,CTW,2016-17,0,0,0,NA,NA
Ivana Bilic,CTW,2016-17,0,0,0,NA,NA
Jordan Brickner,CTW,2016-17,0,0,0,NA,NA
Kaliya Johnson,CTW,2016-17,0,0,0,NA,NA
Meagan Mangene,CTW,2016-17,0,0,0,NA,NA
Zoe Hickel,CTW,2016-17,0,0,0,0,NA
Kiira Dosdall,MET,2017-18,0,0,0,NA,0
Erika  Lawler,MET,2017-18,0,0,0,NA,0
Michelle Picard,MET,2017-18,0,0,0,NA,NA
Kelly Nash,MET,2017-18,0,0,0,NA,NA
Lauren Wash,MET,2017-18,0,0,0,NA,NA
Ashley Johnston,MET,2017-18,0,0,0,NA,NA
Rebecca Morse,MET,2017-18,0,NA,NA,0,NA
Heather  Schwarz,BOS,2017-18,0,0,0,0,NA
Paige Harrington,BOS,2017-18,0,0,0,NA,NA
Kaleigh Fratkin,BOS,2017-18,0,0,0,NA,NA
Kathryn Tomaselli,BOS,2017-18,0,0,0,NA,NA
Corey  Stearns,BOS,2017-18,0,0,0,NA,NA
Haley Skarupa,BOS,2017-18,0,0,0,NA,NA
Sydney   Daniels,BOS,2017-18,0,0,0,NA,NA
Shannon Doyle,CTW,2017-18,0,0,0,NA,0
Kaycie Anderson,CTW,2017-18,0,0,0,NA,NA
Emma Greco,CTW,2017-18,0,0,0,NA,NA
Cydney Roesler,CTW,2017-18,0,0,0,NA,NA
Grace Klienbach,CTW,2017-18,0,0,0,NA,NA
Jordyn Burns,BUF,2017-18,0,0,0,NA,0
Sarah Casorso,BUF,2017-18,0,0,0,0,0
Jordan  Ott,BUF,2017-18,0,0,0,NA,NA
Jacquie Greco,BUF,2017-18,0,0,0,NA,NA
Sarah Shureb,BUF,2017-18,0,0,0,NA,NA
Katherine Donohue,BUF,2017-18,0,0,0,NA,NA
Lisa Chesson,BUF,2017-18,0,0,0,NA,NA
