Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2015,CTW,5,5,Kelly Babstock,Jordan Brickner
2015,BOS,5,5,Gigi Marvin,Jordan Smelker
2015,CTW,5,5,Micaela Long,Kelly Babstock
2015,BOS,5,5,Brianna Decker,Hilary Knight
2015,CTW,5,4,Micaela Long,Jordan Brickner
2015,CTW,5,5,Kelli Stack,NA
2015,BOS,5,4,Brianna Decker,Hilary Knight
2015,BOS,5,4,Emily Field,Kacey Bellamy
2015,BOS,5,5,Hilary Knight,Brianna Decker
2015,BOS,6,5,Brianna Decker,NA
2015,BUF,5,5,Hailey Browne,Tatiana Rafter
2015,BOS,5,5,Corinne Buie,Kacey Bellamy
2015,BOS,5,5,Brianna Decker,Hilary Knight
2015,BUF,5,4,Meghan Duggan,Megan Bozek
2015,BOS,5,5,Jillian Dempsey,Zoe Hickel
2015,CTW,5,5,Alyssa Wohlfeiler,Lindsay Berman
2015,BUF,4,5,Meghan Duggan,Kelley Steadman
2015,CTW,4,5,Sam Faber,Kaleigh Fratkin
2015,CTW,4,5,Kate Buesser,Kaleigh Fratkin
2015,BUF,5,5,Kelley Steadman,Meghan Duggan
2015,CTW,4,5,Molly Engstrom,Kelli Stack
2015,CTW,5,5,Kaleigh Fratkin,Shiann Darkangelo
2015,CTW,5,4,Kelly Babstock,NA
2015,CTW,5,5,Kelli Stack,Jessica Koizumi
2015,BUF,5,5,Devon Skeats,Shelby Bram
2015,BUF,5,5,Kourtney Kunichika,Hailey Browne
2015,CTW,5,5,Danielle Ward,Alyssa Wohlfeiler
2015,CTW,5,5,Sam Faber,Jordan Brickner
2015,CTW,3,5,Kaleigh Fratkin,Jordan Brickner
2015,CTW,3,5,Kaleigh Fratkin,Kelly Babstock
2015,CTW,4,5,Kelly Babstock,Kaleigh Fratkin
2015,BUF,5,5,Kelley Steadman,Kelly McDonald
2015,CTW,5,5,Jessica Koizumi,Kelli Stack
2015,CTW,5,5,Shiann Darkangelo,Danielle Ward
2015,BUF,5,5,Kourtney Kunichika,Meghan Duggan
2015,BUF,5,3,Kelley Steadman,Emily Pfalzer
2015,BUF,5,4,Kourtney Kunichika,Kelly McDonald
2015,BUF,5,4,Meghan Duggan,Shelby Bram
2015,BUF,5,5,Hayley Williams,Kelley Steadman
2015,MET,5,5,Madison Packer,NA
2015,BUF,5,5,Devon Skeats,Megan Bozek
2015,BUF,5,5,Devon Skeats,Kourtney Kunichika
2015,BUF,6,5,Hailey Browne,NA
2015,BUF,5,5,Meghan Duggan,Erin Zach
2015,BUF,3,4,Shelby Bram,Kelly McDonald
2015,CTW,5,4,Sam Faber,Jaimie Leonoff
2015,CTW,5,5,Kaleigh Fratkin,Shiann Darkangelo
2015,MET,5,5,Janine Weber,Ashley Johnston
2015,BUF,5,5,Kelley Steadman,NA
2015,MET,5,5,Meghan Fardelmann,NA
2015,MET,5,5,Ludmila Belyakova,Sydney Kidd
2015,MET,5,4,Ludmila Belyakova,NA
2015,MET,5,4,Meghan Fardelmann,Moran Fritz-Ward
2015,BUF,4,5,Kourtney Kunichika,Kelley Steadman
2015,BUF,5,5,Devon Skeats,NA
2015,MET,5,4,Janine Weber,Elena Orlando
2015,MET,5,5,Meghan Fardelmann,Ludmila Belyakova
2015,CTW,5,5,Danielle Ward,Yekaterina Smolentseva
2015,CTW,5,5,Yekaterina Smolentseva,Kaleigh Fratkin
2015,CTW,5,5,Yekaterina Smolentseva,Micaela Long
2015,BUF,4,4,Kelley Steadman,Meghan Duggan
2015,CTW,4,5,Kelli Stack,NA
2015,BUF,5,5,Kelley Steadman,Hayley Williams
2015,BUF,5,5,Meghan Duggan,Kelley Steadman
2015,CTW,5,4,Kelli Stack,Kelly Babstock
2015,BUF,5,5,Kourtney Kunichika,Hailey Browne
2015,MET,5,5,Ludmila Belyakova,Beth Hanrahan
2015,BUF,5,5,Megan Bozek,Hailey Browne
2015,MET,5,4,Bray Ketchum,Madison Packer
2015,MET,5,5,Moran Fritz-Ward,Celeste Brown
2015,MET,5,4,Bray Ketchum,Brooke Ammerman
2015,MET,5,3,Moran Fritz-Ward,Brooke Ammerman
2015,BUF,5,5,Emily Pfalzer,Shelby Bram
2015,BUF,5,5,Tatiana Rafter,Hannah McGowan
2015,BUF,4,5,Kourtney Kunichika,Devon Skeats
2015,BUF,5,3,Kelley Steadman,Meghan Duggan
2015,BUF,5,4,Kelley Steadman,Meghan Duggan
2015,MET,5,5,Beth Hanrahan,Ludmila Belyakova
2015,MET,5,6,Bray Ketchum,Brooke Ammerman
2015,BUF,5,5,Shelby Bram,Megan Bozek
2015,BUF,5,6,Erin Zach,Kelley Steadman
2015,CTW,5,5,Alyssa Wohlfeiler,Micaela Long
2015,BUF,5,5,Shelby Bram,Kelly McDonald
2015,BUF,5,4,Hannah McGowan,Hayley Williams
2015,CTW,5,5,Kate Buesser,Kelli Stack
2015,CTW,5,5,Molly Engstrom,Kelly Babstock
2015,MET,5,5,Meghan Fardelmann,Ludmila Belyakova
2015,BUF,5,5,Devon Skeats,Megan Bozek
2015,BUF,5,5,Shelby Bram,Erin Zach
2015,MET,5,4,Moran Fritz-Ward,Brooke Ammerman
2015,BUF,5,5,Kelley Steadman,Erin Zach
2015,MET,5,5,Bray Ketchum,Brooke Ammerman
2015,BUF,5,5,Megan Bozek,Hayley Williams
2015,BUF,4,4,Meghan Duggan,Megan Bozek
2015,BUF,5,5,Tatiana Rafter,Hannah McGowan
2015,BUF,5,5,Kourtney Kunichika,Devon Skeats
2015,BUF,5,6,Kelley Steadman,Meghan Duggan
2015,CTW,5,5,Jessica Koizumi,Kelly Babstock
2015,MET,5,5,Brooke Ammerman,Ludmila Belyakova
2015,CTW,5,5,Kelli Stack,Kaleigh Fratkin
2015,CTW,5,5,Kelly Babstock,Kelli Stack
2015,CTW,5,5,Shiann Darkangelo,Micaela Long
2015,CTW,4,5,Alyssa Wohlfeiler,Danielle Ward
2015,MET,5,3,Ashley Johnston,Meghan Fardelmann
2015,CTW,5,5,Kaleigh Fratkin,Kelli Stack
2015,CTW,6,5,Kelly Babstock,NA
2015,MET,5,5,Bray Ketchum,Brooke Ammerman
2015,MET,5,5,Bray Ketchum,Janine Weber
2015,MET,5,5,Moran Fritz-Ward,NA
2015,CTW,5,5,Yekaterina Smolentseva,Danielle Ward
2015,CTW,5,5,Shiann Darkangelo,Kelly Babstock
2015,CTW,5,5,Shiann Darkangelo,Kelly Babstock
2015,CTW,5,4,Kelly Babstock,Yekaterina Smolentseva
2015,CTW,5,4,Shiann Darkangelo,NA
2015,CTW,5,5,Shiann Darkangelo,Jordan Brickner
2015,CTW,5,5,Shannon Doyle,Kaleigh Fratkin
2015,CTW,5,4,Kelly Babstock,Alyssa Wohlfeiler
2015,MET,6,4,Ludmila Belyakova,Celeste Brown
2015,CTW,6,5,Kelli Stack,NA
2015,CTW,5,5,Shiann Darkangelo,Kelli Stack
2015,MET,5,4,Janine Weber,NA
2015,CTW,5,5,Danielle Ward,Yekaterina Smolentseva
2015,CTW,5,5,Danielle Ward,Brittany Dougherty
2015,MET,4,5,Brooke Ammerman,Bray Ketchum
2015,CTW,5,5,Kelli Stack,Kelly Babstock
2015,MET,5,5,Brooke Ammerman,Amber Moore
2015,CTW,5,5,Danielle Ward,Jordan Brickner
2015,MET,3,4,Bray Ketchum,Brooke Ammerman
2015,CTW,5,5,Shiann Darkangelo,Kelli Stack
2015,CTW,5,4,Kelly Babstock,Kelli Stack
2015,MET,4,5,Kiira Dosdall,Brooke Ammerman
2015,CTW,5,6,Micaela Long,NA
2016,BOS,5,5,Alex Carpenter,Brianna Decker
2016,BOS,5,5,Jillian Dempsey,Alex Carpenter
2016,BOS,5,5,Rachel Llanes,Amanda Pelkey
2016,BOS,5,5,Amanda Pelkey,Emily Field
2016,BUF,4,5,Harrison Browne,NA
2016,BOS,5,5,Alex Carpenter,Jillian Dempsey
2016,MET,5,5,Miye D'Oench,Amanda Kessel
2016,BOS,4,4,Brianna Decker,Zoe Hickel
2016,BOS,5,4,Blake Bolden,Alex Carpenter
2016,BOS,5,5,Brianna Decker,Jordan Smelker
2016,BOS,5,5,Rachel Llanes,Alyssa Gagliardi
2016,MET,3,5,Milica McMillen,Amanda Kessel
2016,MET,5,5,Tatiana Rafter,Rebecca Russo
2016,BOS,4,5,Emily Field,NA
2016,BOS,5,5,Jordan Smelker,Brianna Decker
2016,BUF,4,5,Shiann Darkangelo,Sarah Casorso
2016,MET,5,5,Bray Ketchum,Janine Weber
2016,BOS,5,5,Zoe Hickel,Brianna Decker
2016,BOS,5,5,Alex Carpenter,Meghan Duggan
2016,BOS,5,5,Amanda Pelkey,Blake Bolden
2016,BOS,5,5,Brianna Decker,NA
2016,BOS,5,5,Gigi Marvin,Alex Carpenter
2016,BOS,5,4,Meghan Duggan,Blake Bolden
2016,BOS,5,4,Jordan Smelker,Kacey Bellamy
2016,BOS,5,5,Hilary Knight,Jordan Smelker
2016,BOS,5,5,Alexandra Bender,Kacey Bellamy
2016,BOS,4,4,Meghan Duggan,Alex Carpenter
2016,BOS,4,5,Gigi Marvin,Meghan Duggan
2016,BOS,5,5,Rachel Llanes,Amanda Pelkey
2016,BOS,5,5,Alex Carpenter,Jillian Dempsey
2016,CTW,5,5,Dana Trivigno,Molly Engstrom
