Season,game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,
2018,22207012,13/10/18,BOS,MET,0,0,14,1,10,13,587,37,Faceoff,BOS,Dana Trivigno,Alexa Aramburu,NA,NA,-23.5818,18.768,5,5,16.00779565,68.0571724,-23.5818,18.768,23.5818,-18.768,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,15,1,9,29,631,44,Shot,BOS,Haley Skarupa,Katie  Fitzgerald,NA,NA,75.2004,-5.3125,5,5,21.05545444,14.78687311,75.2004,-5.3125,75.2004,-5.3125,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,16,1,9,29,631,0,Faceoff,MET,Alexa Gruschow,McKenna  Brand,NA,NA,63.9144,-20.893,5,5,39.78984152,32.64666562,63.9144,-20.893,63.9144,-20.893,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,17,1,8,56,664,33,Shot,BOS,Lauren Kelly,Katie  Fitzgerald,NA,NA,61.1028,-2.8305,5,5,5.793506535,28.04042614,61.1028,-2.8305,61.1028,-2.8305,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,18,1,8,56,664,0,Faceoff,BOS,Jillian Dempsey,Kristin Lewicki,NA,NA,64.3104,-19.482,5,5,38.27616534,31.4503525,64.3104,-19.482,64.3104,-19.482,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,19,1,8,26,694,30,Shot,BOS,Jillian Dempsey,Katie  Fitzgerald,NA,NA,81.6552,-6.732,5,5,42.50733835,9.963227943,81.6552,-6.732,81.6552,-6.732,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,20,1,7,47,733,39,Faceoff,MET,Alexa Gruschow,Dana Trivigno,NA,NA,-23.9976,17.357,5,5,14.95036466,67.27984434,-23.9976,17.357,23.9976,-17.357,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,21,1,6,36,804,71,Shot,BOS,Gigi  Marvin,Katie  Fitzgerald,NA,NA,80.0514,16.2945,5,5,61.22532629,18.59000194,80.0514,16.2945,80.0514,16.2945,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,22,1,6,36,804,0,Faceoff,BOS,McKenna  Brand,Alexa Aramburu,NA,NA,63.5184,19.482,5,5,37.39978108,32.0758517,63.5184,19.482,63.5184,19.482,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,23,1,6,22,818,14,Shot,BOS,Lexi Bender,Katie  Fitzgerald,NA,NA,40.9266,12.0445,5,5,14.06557299,49.5592753,40.9266,12.0445,40.9266,12.0445,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
