game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,Season
14668259,2016-08-18,BUF,BOS,0,2,39,2,15,36,1464,264,Goal,BOS,Hilary Knight,Kacey Bellamy,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,39,2,8,57,1863,399,Goal,BOS,Jordan Smelker,Brianna Decker,Alyssa Gagliardi,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,40,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,41,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,42,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,43,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,44,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,45,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,46,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,47,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,48,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,49,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,50,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,51,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,52,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
